Record Length,9216,,Source,CH1,CH2
Sample Interval,0.0000000003255,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.00000460800,-2.48000,-0.28000
Vertical Scale,CH1:2.00 CH2:0.20,,-0.00000460700,-2.40000,-0.28000
Vertical Offset,CH1:0.00 CH2:-0.01600,,-0.00000460600,-2.48000,-0.28000
Horizontal Units,s,,-0.00000460500,-2.40000,-0.27200
Horizontal Scale,0.0000002500,,-0.00000460400,-2.40000,-0.27200
Model Number,WaveAce202,,-0.00000460300,-2.40000,-0.27200
Serial Number,LCRY2104C00378,,-0.00000460200,-2.40000,-0.27200
Software Version,2.06.02.11,,-0.00000460100,-2.32000,-0.27200
,,,-0.00000460000,-2.40000,-0.28000
,,,-0.00000459900,-2.32000,-0.28000
,,,-0.00000459800,-2.40000,-0.27200
,,,-0.00000459700,-2.32000,-0.27200
,,,-0.00000459600,-2.24000,-0.27200
,,,-0.00000459500,-2.24000,-0.26400
,,,-0.00000459400,-2.32000,-0.26400
,,,-0.00000459300,-2.24000,-0.24800
,,,-0.00000459200,-2.32000,-0.24800
,,,-0.00000459100,-2.16000,-0.24800
,,,-0.00000459000,-2.16000,-0.25600
,,,-0.00000458900,-2.08000,-0.25600
,,,-0.00000458800,-2.16000,-0.24800
,,,-0.00000458700,-2.08000,-0.24000
,,,-0.00000458600,-2.08000,-0.24800
,,,-0.00000458500,-2.08000,-0.25600
,,,-0.00000458400,-2.00000,-0.26400
,,,-0.00000458300,-2.00000,-0.25600
,,,-0.00000458200,-2.00000,-0.25600
,,,-0.00000458100,-1.92000,-0.25600
,,,-0.00000458000,-2.00000,-0.26400
,,,-0.00000457900,-1.84000,-0.25600
,,,-0.00000457800,-1.92000,-0.24800
,,,-0.00000457700,-1.92000,-0.24800
,,,-0.00000457600,-1.84000,-0.24800
,,,-0.00000457500,-1.84000,-0.23200
,,,-0.00000457400,-1.84000,-0.22400
,,,-0.00000457300,-1.76000,-0.21600
,,,-0.00000457200,-1.76000,-0.21600
,,,-0.00000457100,-1.68000,-0.21600
,,,-0.00000457000,-1.68000,-0.20800
,,,-0.00000456900,-1.68000,-0.20800
,,,-0.00000456800,-1.68000,-0.20800
,,,-0.00000456700,-1.68000,-0.20000
,,,-0.00000456600,-1.60000,-0.20000
,,,-0.00000456500,-1.60000,-0.20000
,,,-0.00000456400,-1.60000,-0.20800
,,,-0.00000456300,-1.52000,-0.20000
,,,-0.00000456200,-1.52000,-0.20000
