Record Length,9216,,Source,CH1,CH2
Sample Interval,0.0000001302083,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.00092160006,1.68000,0.16000
Vertical Scale,CH1:2.00 CH2:0.20,,-0.00092140000,1.68000,0.16000
Vertical Offset,CH1:0.00 CH2:-0.01600,,-0.00092120000,1.68000,0.15200
Horizontal Units,s,,-0.00092100000,1.60000,0.15200
Horizontal Scale,0.0001000000,,-0.00092080000,1.60000,0.15200
Model Number,WaveAce202,,-0.00092060000,1.60000,0.14400
Serial Number,LCRY2104C00378,,-0.00092040000,1.60000,0.14400
Software Version,2.06.02.11,,-0.00092020000,1.52000,0.14400
,,,-0.00092000000,1.52000,0.13600
,,,-0.00091980000,1.52000,0.14400
,,,-0.00091960000,1.44000,0.12800
,,,-0.00091940000,1.44000,0.13600
,,,-0.00091920000,1.44000,0.12000
,,,-0.00091900000,1.36000,0.13600
,,,-0.00091880000,1.36000,0.12800
,,,-0.00091860000,1.36000,0.12800
,,,-0.00091840000,1.28000,0.12000
,,,-0.00091820000,1.28000,0.12000
,,,-0.00091800000,1.28000,0.12000
,,,-0.00091780000,1.20000,0.11200
,,,-0.00091760000,1.20000,0.11200
,,,-0.00091740000,1.20000,0.12000
,,,-0.00091720000,1.12000,0.10400
,,,-0.00091700000,1.12000,0.10400
,,,-0.00091680000,1.12000,0.10400
,,,-0.00091660000,1.04000,0.10400
,,,-0.00091640000,1.04000,0.10400
,,,-0.00091620000,1.04000,0.09600
,,,-0.00091600000,0.96000,0.09600
,,,-0.00091580006,0.96000,0.08800
,,,-0.00091560006,0.96000,0.08800
,,,-0.00091540006,0.96000,0.08800
,,,-0.00091520006,0.96000,0.08800
,,,-0.00091500006,0.88000,0.08000
,,,-0.00091480006,0.80000,0.07200
,,,-0.00091460006,0.80000,0.08800
,,,-0.00091440006,0.80000,0.07200
,,,-0.00091420006,0.72000,0.07200
,,,-0.00091400006,0.72000,0.06400
,,,-0.00091380006,0.72000,0.06400
,,,-0.00091360000,0.64000,0.06400
,,,-0.00091340000,0.64000,0.06400
,,,-0.00091320000,0.56000,0.06400
,,,-0.00091300000,0.56000,0.06400
,,,-0.00091280000,0.56000,0.06400
,,,-0.00091260000,0.56000,0.06400
,,,-0.00091240000,0.56000,0.05600
,,,-0.00091220000,0.48000,0.06400
,,,-0.00091200000,0.48000,0.05600
,,,-0.00091180000,0.48000,0.05600
,,,-0.00091160000,0.40000,0.04800
,,,-0.00091140000,0.40000,0.04800
,,,-0.00091120000,0.40000,0.04800
,,,-0.00091100000,0.32000,0.04000
,,,-0.00091080000,0.32000,0.04000
,,,-0.00091060000,0.24000,0.03200
,,,-0.00091040000,0.24000,0.03200
,,,-0.00091020000,0.24000,0.03200
,,,-0.00091000000,0.16000,0.02400
,,,-0.00090980000,0.16000,0.02400
,,,-0.00090960000,0.16000,0.02400
,,,-0.00090940000,0.16000,0.01600
,,,-0.00090920000,0.08000,0.01600
,,,-0.00090900000,0.08000,0.01600
,,,-0.00090880000,0.08000,0.00800
,,,-0.00090860000,0.00,0.01600
,,,-0.00090840000,-0.08000,0.00800
,,,-0.00090820000,-0.08000,0.00800
,,,-0.00090800000,-0.08000,0.00800
,,,-0.00090780006,-0.08000,0.00800
,,,-0.00090760006,-0.08000,0.00800
,,,-0.00090740006,-0.08000,0.00
,,,-0.00090720006,-0.08000,-0.00800
,,,-0.00090700006,-0.16000,-0.00800
,,,-0.00090680006,-0.16000,0.00
,,,-0.00090660006,-0.16000,-0.00800
,,,-0.00090640006,-0.24000,-0.01600
,,,-0.00090620006,-0.24000,-0.01600
,,,-0.00090600000,-0.24000,-0.01600
,,,-0.00090580000,-0.24000,-0.01600
,,,-0.00090560000,-0.32000,-0.02400
,,,-0.00090540000,-0.40000,-0.02400
,,,-0.00090520000,-0.40000,-0.02400
,,,-0.00090500000,-0.40000,-0.02400
,,,-0.00090480000,-0.48000,-0.03200
,,,-0.00090460000,-0.48000,-0.02400
,,,-0.00090440000,-0.48000,-0.03200
,,,-0.00090420000,-0.48000,-0.04000
,,,-0.00090400000,-0.56000,-0.04800
,,,-0.00090380000,-0.56000,-0.04800
,,,-0.00090360000,-0.64000,-0.04800
,,,-0.00090340000,-0.64000,-0.04800
,,,-0.00090320000,-0.64000,-0.05600
,,,-0.00090300000,-0.72000,-0.05600
,,,-0.00090280000,-0.72000,-0.05600
,,,-0.00090260000,-0.72000,-0.05600
,,,-0.00090240000,-0.80000,-0.05600
,,,-0.00090220000,-0.80000,-0.05600
,,,-0.00090200000,-0.88000,-0.06400
,,,-0.00090180000,-0.88000,-0.06400
,,,-0.00090160000,-0.88000,-0.06400
,,,-0.00090140000,-0.96000,-0.07200
,,,-0.00090120000,-0.96000,-0.06400
,,,-0.00090100000,-0.96000,-0.07200
,,,-0.00090080000,-0.96000,-0.06400
,,,-0.00090060000,-1.04000,-0.08800
,,,-0.00090040000,-1.04000,-0.07200
,,,-0.00090020000,-1.04000,-0.08000
,,,-0.00090000000,-1.12000,-0.08000
,,,-0.00089980006,-1.12000,-0.08800
,,,-0.00089960006,-1.20000,-0.08800
,,,-0.00089940006,-1.20000,-0.08800
,,,-0.00089920006,-1.20000,-0.08800
,,,-0.00089900006,-1.20000,-0.09600
,,,-0.00089880006,-1.28000,-0.09600
,,,-0.00089860006,-1.28000,-0.09600
,,,-0.00089840000,-1.36000,-0.10400
,,,-0.00089820000,-1.36000,-0.10400
,,,-0.00089800000,-1.36000,-0.10400
,,,-0.00089780000,-1.36000,-0.10400
,,,-0.00089760000,-1.44000,-0.11200
,,,-0.00089740000,-1.44000,-0.12000
,,,-0.00089720000,-1.44000,-0.11200
,,,-0.00089700000,-1.52000,-0.12000
,,,-0.00089680000,-1.52000,-0.12000
,,,-0.00089660000,-1.52000,-0.12000
,,,-0.00089640000,-1.60000,-0.12000
,,,-0.00089620000,-1.60000,-0.12000
,,,-0.00089600000,-1.68000,-0.12800
,,,-0.00089580000,-1.68000,-0.13600
,,,-0.00089560000,-1.68000,-0.13600
,,,-0.00089540000,-1.68000,-0.13600
,,,-0.00089520000,-1.76000,-0.13600
,,,-0.00089500000,-1.76000,-0.14400
,,,-0.00089480000,-1.84000,-0.15200
,,,-0.00089460000,-1.84000,-0.14400
,,,-0.00089440000,-1.84000,-0.15200
,,,-0.00089420000,-1.84000,-0.15200
,,,-0.00089400000,-1.92000,-0.15200
,,,-0.00089380000,-1.92000,-0.16000
,,,-0.00089360000,-1.92000,-0.16000
,,,-0.00089340000,-1.92000,-0.16000
,,,-0.00089320000,-2.00000,-0.16000
,,,-0.00089300000,-2.00000,-0.16000
,,,-0.00089280000,-2.08000,-0.16000
,,,-0.00089260000,-2.08000,-0.16800
,,,-0.00089240000,-2.08000,-0.16800
,,,-0.00089220000,-2.16000,-0.16800
,,,-0.00089200000,-2.16000,-0.16800
,,,-0.00089180006,-2.16000,-0.18400
,,,-0.00089160006,-2.16000,-0.17600
,,,-0.00089140006,-2.16000,-0.17600
,,,-0.00089120006,-2.24000,-0.18400
,,,-0.00089100006,-2.24000,-0.17600
,,,-0.00089080000,-2.32000,-0.18400
,,,-0.00089060000,-2.32000,-0.18400
,,,-0.00089040000,-2.32000,-0.18400
,,,-0.00089020000,-2.32000,-0.18400
,,,-0.00089000000,-2.40000,-0.19200
,,,-0.00088980000,-2.40000,-0.19200
,,,-0.00088960000,-2.40000,-0.19200
,,,-0.00088940000,-2.48000,-0.20000
,,,-0.00088920000,-2.48000,-0.20000
,,,-0.00088900000,-2.48000,-0.20800
,,,-0.00088880000,-2.56000,-0.20000
,,,-0.00088860000,-2.56000,-0.20800
,,,-0.00088840000,-2.56000,-0.20000
,,,-0.00088820000,-2.64000,-0.19200
,,,-0.00088800000,-2.64000,-0.21600
,,,-0.00088780000,-2.64000,-0.20800
,,,-0.00088760000,-2.64000,-0.20800
,,,-0.00088740000,-2.72000,-0.20800
,,,-0.00088720000,-2.72000,-0.21600
,,,-0.00088700000,-2.72000,-0.22400
,,,-0.00088680000,-2.80000,-0.21600
,,,-0.00088660000,-2.80000,-0.21600
,,,-0.00088640000,-2.80000,-0.21600
,,,-0.00088620000,-2.80000,-0.21600
,,,-0.00088600000,-2.80000,-0.23200
,,,-0.00088580000,-2.88000,-0.22400
,,,-0.00088560000,-2.88000,-0.24000
,,,-0.00088540000,-2.96000,-0.24000
,,,-0.00088520000,-2.88000,-0.24000
,,,-0.00088500000,-2.96000,-0.24000
,,,-0.00088480000,-2.96000,-0.24000
,,,-0.00088460000,-3.04000,-0.24000
,,,-0.00088440000,-3.04000,-0.24000
,,,-0.00088420000,-3.04000,-0.24000
,,,-0.00088400000,-3.12000,-0.24800
,,,-0.00088380006,-3.04000,-0.24800
,,,-0.00088360006,-3.12000,-0.25600
,,,-0.00088340006,-3.12000,-0.25600
,,,-0.00088320000,-3.12000,-0.26400
,,,-0.00088300000,-3.20000,-0.26400
,,,-0.00088280000,-3.20000,-0.24800
,,,-0.00088260000,-3.20000,-0.26400
,,,-0.00088240000,-3.20000,-0.26400
,,,-0.00088220000,-3.20000,-0.26400
,,,-0.00088200000,-3.28000,-0.27200
,,,-0.00088180000,-3.28000,-0.26400
,,,-0.00088160000,-3.28000,-0.27200
,,,-0.00088140000,-3.28000,-0.27200
,,,-0.00088120000,-3.36000,-0.28000
,,,-0.00088100000,-3.36000,-0.27200
,,,-0.00088080000,-3.36000,-0.28000
,,,-0.00088060000,-3.36000,-0.27200
,,,-0.00088040000,-3.44000,-0.28000
,,,-0.00088020000,-3.44000,-0.28000
,,,-0.00088000000,-3.44000,-0.28000
,,,-0.00087980000,-3.44000,-0.28000
,,,-0.00087960000,-3.44000,-0.28800
,,,-0.00087940000,-3.52000,-0.28000
,,,-0.00087920000,-3.52000,-0.28800
,,,-0.00087900000,-3.52000,-0.28000
,,,-0.00087880000,-3.60000,-0.28000
,,,-0.00087860000,-3.52000,-0.28800
,,,-0.00087840000,-3.60000,-0.28800
,,,-0.00087820000,-3.60000,-0.28800
,,,-0.00087800000,-3.60000,-0.29600
,,,-0.00087780000,-3.60000,-0.28800
,,,-0.00087760000,-3.68000,-0.29600
,,,-0.00087740000,-3.60000,-0.29600
,,,-0.00087720000,-3.68000,-0.30400
,,,-0.00087700000,-3.68000,-0.29600
,,,-0.00087680000,-3.68000,-0.30400
,,,-0.00087660000,-3.76000,-0.30400
,,,-0.00087640000,-3.68000,-0.30400
,,,-0.00087620000,-3.76000,-0.30400
,,,-0.00087600000,-3.76000,-0.30400
,,,-0.00087580006,-3.76000,-0.30400
,,,-0.00087560006,-3.76000,-0.30400
,,,-0.00087540000,-3.76000,-0.31200
,,,-0.00087520000,-3.84000,-0.31200
,,,-0.00087500000,-3.76000,-0.30400
,,,-0.00087480000,-3.84000,-0.31200
,,,-0.00087460000,-3.84000,-0.31200
,,,-0.00087440000,-3.84000,-0.32000
,,,-0.00087420000,-3.92000,-0.31200
,,,-0.00087400000,-3.84000,-0.31200
,,,-0.00087380000,-3.92000,-0.32000
,,,-0.00087360000,-4.00000,-0.32000
,,,-0.00087340000,-3.92000,-0.32000
,,,-0.00087320000,-4.00000,-0.32800
,,,-0.00087300000,-4.00000,-0.32000
,,,-0.00087280000,-4.00000,-0.32800
,,,-0.00087260000,-4.00000,-0.32000
,,,-0.00087240000,-4.00000,-0.32000
,,,-0.00087220000,-4.08000,-0.32800
,,,-0.00087200000,-4.00000,-0.32800
,,,-0.00087180000,-4.00000,-0.32800
,,,-0.00087160000,-4.00000,-0.32800
,,,-0.00087140000,-4.08000,-0.33600
,,,-0.00087120000,-4.08000,-0.32800
,,,-0.00087100000,-4.08000,-0.33600
,,,-0.00087080000,-4.08000,-0.34400
,,,-0.00087060000,-4.08000,-0.34400
,,,-0.00087040000,-4.08000,-0.33600
,,,-0.00087020000,-4.08000,-0.33600
,,,-0.00087000000,-4.08000,-0.34400
,,,-0.00086980000,-4.08000,-0.34400
,,,-0.00086960000,-4.08000,-0.33600
,,,-0.00086940000,-4.08000,-0.33600
,,,-0.00086920000,-4.08000,-0.34400
,,,-0.00086900000,-4.08000,-0.34400
,,,-0.00086880000,-4.08000,-0.34400
,,,-0.00086860000,-4.16000,-0.34400
,,,-0.00086840000,-4.16000,-0.34400
,,,-0.00086820000,-4.16000,-0.35200
,,,-0.00086800000,-4.16000,-0.34400
,,,-0.00086780000,-4.16000,-0.36000
,,,-0.00086760000,-4.16000,-0.35200
,,,-0.00086740000,-4.16000,-0.34400
,,,-0.00086720000,-4.16000,-0.36000
,,,-0.00086700000,-4.16000,-0.35200
,,,-0.00086680000,-4.24000,-0.36800
,,,-0.00086660000,-4.16000,-0.36800
,,,-0.00086640000,-4.16000,-0.35200
,,,-0.00086620000,-4.16000,-0.35200
,,,-0.00086600000,-4.24000,-0.34400
,,,-0.00086580000,-4.24000,-0.35200
,,,-0.00086560000,-4.24000,-0.35200
,,,-0.00086540000,-4.16000,-0.36000
,,,-0.00086520000,-4.24000,-0.35200
,,,-0.00086500000,-4.24000,-0.36000
,,,-0.00086480000,-4.24000,-0.36000
,,,-0.00086460000,-4.24000,-0.36000
,,,-0.00086440000,-4.24000,-0.36000
,,,-0.00086420000,-4.24000,-0.36000
