Record Length,9216,,Source,CH1,CH2
Sample Interval,0.0000000003255,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.00000460800,1.44000,0.23200
Vertical Scale,CH1:2.00 CH2:0.20,,-0.00000460700,1.52000,0.24000
Vertical Offset,CH1:0.00 CH2:-0.01600,,-0.00000460600,1.44000,0.23200
Horizontal Units,s,,-0.00000460500,1.44000,0.23200
Horizontal Scale,0.0000002500,,-0.00000460400,1.44000,0.22400
Model Number,WaveAce202,,-0.00000460300,1.36000,0.22400
Serial Number,LCRY2104C00378,,-0.00000460200,1.36000,0.21600
Software Version,2.06.02.11,,-0.00000460100,1.36000,0.21600
,,,-0.00000460000,1.28000,0.20800
,,,-0.00000459900,1.28000,0.20800
,,,-0.00000459800,1.28000,0.19200
,,,-0.00000459700,1.28000,0.20000
,,,-0.00000459600,1.28000,0.19200
,,,-0.00000459500,1.20000,0.19200
,,,-0.00000459400,1.20000,0.19200
,,,-0.00000459300,1.20000,0.19200
,,,-0.00000459200,1.12000,0.19200
,,,-0.00000459100,1.04000,0.19200
,,,-0.00000459000,1.04000,0.19200
,,,-0.00000458900,1.04000,0.19200
,,,-0.00000458800,1.04000,0.19200
,,,-0.00000458700,0.96000,0.19200
,,,-0.00000458600,0.96000,0.19200
,,,-0.00000458500,0.88000,0.19200
,,,-0.00000458400,0.88000,0.19200
,,,-0.00000458300,0.88000,0.19200
,,,-0.00000458200,0.88000,0.18400
,,,-0.00000458100,0.80000,0.18400
,,,-0.00000458000,0.80000,0.17600
,,,-0.00000457900,0.80000,0.16800
,,,-0.00000457800,0.72000,0.16800
,,,-0.00000457700,0.72000,0.17600
,,,-0.00000457600,0.72000,0.17600
,,,-0.00000457500,0.64000,0.16800
,,,-0.00000457400,0.72000,0.16800
,,,-0.00000457300,0.64000,0.17600
,,,-0.00000457200,0.64000,0.17600
,,,-0.00000457100,0.56000,0.16800
,,,-0.00000457000,0.56000,0.16800
,,,-0.00000456900,0.56000,0.16800
,,,-0.00000456800,0.48000,0.16800
,,,-0.00000456700,0.40000,0.16800
,,,-0.00000456600,0.48000,0.15200
,,,-0.00000456500,0.40000,0.16000
,,,-0.00000456400,0.40000,0.15200
,,,-0.00000456300,0.32000,0.15200
,,,-0.00000456200,0.32000,0.13600
,,,-0.00000456100,0.32000,0.12800
,,,-0.00000456000,0.24000,0.12000
,,,-0.00000455900,0.24000,0.12800
,,,-0.00000455800,0.24000,0.12000
,,,-0.00000455700,0.16000,0.11200
,,,-0.00000455600,0.16000,0.11200
,,,-0.00000455500,0.16000,0.11200
,,,-0.00000455400,0.16000,0.11200
,,,-0.00000455300,0.08000,0.11200
,,,-0.00000455200,0.08000,0.11200
,,,-0.00000455100,0.00,0.11200
,,,-0.00000455000,0.00,0.11200
,,,-0.00000454900,0.00,0.11200
,,,-0.00000454800,-0.08000,0.11200
,,,-0.00000454700,-0.08000,0.11200
,,,-0.00000454600,-0.08000,0.11200
,,,-0.00000454500,-0.08000,0.10400
,,,-0.00000454400,-0.08000,0.09600
,,,-0.00000454300,-0.16000,0.10400
,,,-0.00000454200,-0.16000,0.09600
,,,-0.00000454100,-0.24000,0.10400
,,,-0.00000454000,-0.24000,0.08800
,,,-0.00000453900,-0.24000,0.08800
,,,-0.00000453800,-0.24000,0.07200
,,,-0.00000453700,-0.24000,0.08000
,,,-0.00000453600,-0.32000,0.08000
,,,-0.00000453500,-0.32000,0.08000
,,,-0.00000453400,-0.32000,0.07200
,,,-0.00000453300,-0.40000,0.07200
,,,-0.00000453200,-0.40000,0.07200
,,,-0.00000453100,-0.40000,0.07200
,,,-0.00000453000,-0.48000,0.07200
,,,-0.00000452900,-0.56000,0.07200
,,,-0.00000452800,-0.64000,0.05600
,,,-0.00000452700,-0.48000,0.06400
,,,-0.00000452600,-0.64000,0.05600
,,,-0.00000452500,-0.64000,0.06400
,,,-0.00000452400,-0.64000,0.06400
,,,-0.00000452300,-0.64000,0.06400
