Record Length,9216,,Source,CH1,CH2
Sample Interval,0.0000001302083,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.00092160006,4.08000,0.37600
Vertical Scale,CH1:2.00 CH2:0.20,,-0.00092140000,4.16000,0.36800
Vertical Offset,CH1:0.00 CH2:-0.01600,,-0.00092120000,4.16000,0.36800
Horizontal Units,s,,-0.00092100000,4.16000,0.37600
Horizontal Scale,0.0001000000,,-0.00092080000,4.08000,0.38400
Model Number,WaveAce202,,-0.00092060000,4.16000,0.37600
Serial Number,LCRY2104C00378,,-0.00092040000,4.08000,0.37600
Software Version,2.06.02.11,,-0.00092020000,4.16000,0.37600
,,,-0.00092000000,4.08000,0.36800
,,,-0.00091980000,4.08000,0.36800
,,,-0.00091960000,4.08000,0.37600
,,,-0.00091940000,4.08000,0.37600
,,,-0.00091920000,4.16000,0.37600
,,,-0.00091900000,4.16000,0.36800
,,,-0.00091880000,4.08000,0.36800
,,,-0.00091860000,4.16000,0.36800
,,,-0.00091840000,4.08000,0.36800
,,,-0.00091820000,4.16000,0.37600
,,,-0.00091800000,4.08000,0.36000
,,,-0.00091780000,4.08000,0.36800
,,,-0.00091760000,4.08000,0.37600
,,,-0.00091740000,4.08000,0.36000
,,,-0.00091720000,4.08000,0.37600
,,,-0.00091700000,4.08000,0.36800
,,,-0.00091680000,4.08000,0.36000
,,,-0.00091660000,4.08000,0.36800
,,,-0.00091640000,4.08000,0.36800
,,,-0.00091620000,4.08000,0.36000
,,,-0.00091600000,4.00000,0.36000
,,,-0.00091580006,4.00000,0.36000
,,,-0.00091560006,4.08000,0.36000
,,,-0.00091540006,4.08000,0.36000
,,,-0.00091520006,4.08000,0.36800
,,,-0.00091500006,4.08000,0.36800
,,,-0.00091480006,4.00000,0.36000
,,,-0.00091460006,4.08000,0.36000
,,,-0.00091440006,4.00000,0.36000
,,,-0.00091420006,4.00000,0.36000
,,,-0.00091400006,4.00000,0.36000
,,,-0.00091380006,4.00000,0.36000
,,,-0.00091360000,4.00000,0.36000
,,,-0.00091340000,4.00000,0.36000
,,,-0.00091320000,4.00000,0.36000
,,,-0.00091300000,4.00000,0.36000
,,,-0.00091280000,4.00000,0.36000
,,,-0.00091260000,3.92000,0.36000
,,,-0.00091240000,3.92000,0.35200
,,,-0.00091220000,4.00000,0.35200
,,,-0.00091200000,4.00000,0.35200
,,,-0.00091180000,4.00000,0.35200
,,,-0.00091160000,3.92000,0.35200
,,,-0.00091140000,4.00000,0.35200
,,,-0.00091120000,3.92000,0.36000
,,,-0.00091100000,3.92000,0.36000
,,,-0.00091080000,3.92000,0.35200
,,,-0.00091060000,3.92000,0.36000
,,,-0.00091040000,3.92000,0.35200
,,,-0.00091020000,3.92000,0.36000
,,,-0.00091000000,3.92000,0.36000
,,,-0.00090980000,3.92000,0.36000
,,,-0.00090960000,3.92000,0.35200
,,,-0.00090940000,3.92000,0.35200
,,,-0.00090920000,3.92000,0.35200
,,,-0.00090900000,3.92000,0.34400
,,,-0.00090880000,3.92000,0.35200
,,,-0.00090860000,3.84000,0.34400
,,,-0.00090840000,3.84000,0.34400
,,,-0.00090820000,3.84000,0.34400
,,,-0.00090800000,3.84000,0.34400
,,,-0.00090780006,3.84000,0.34400
,,,-0.00090760006,3.84000,0.34400
,,,-0.00090740006,3.84000,0.35200
,,,-0.00090720006,3.84000,0.34400
,,,-0.00090700006,3.84000,0.34400
,,,-0.00090680006,3.84000,0.35200
,,,-0.00090660006,3.84000,0.34400
,,,-0.00090640006,3.84000,0.34400
,,,-0.00090620006,3.84000,0.34400
,,,-0.00090600000,3.84000,0.34400
,,,-0.00090580000,3.84000,0.34400
,,,-0.00090560000,3.84000,0.34400
,,,-0.00090540000,3.84000,0.34400
,,,-0.00090520000,3.84000,0.33600
,,,-0.00090500000,3.84000,0.33600
,,,-0.00090480000,3.84000,0.32800
,,,-0.00090460000,3.84000,0.33600
,,,-0.00090440000,3.84000,0.32800
,,,-0.00090420000,3.84000,0.35200
,,,-0.00090400000,3.84000,0.34400
,,,-0.00090380000,3.84000,0.34400
,,,-0.00090360000,3.76000,0.32800
,,,-0.00090340000,3.76000,0.32000
,,,-0.00090320000,3.76000,0.32800
,,,-0.00090300000,3.76000,0.32800
,,,-0.00090280000,3.76000,0.33600
,,,-0.00090260000,3.76000,0.33600
,,,-0.00090240000,3.76000,0.32800
,,,-0.00090220000,3.76000,0.32800
,,,-0.00090200000,3.76000,0.32800
,,,-0.00090180000,3.76000,0.32800
,,,-0.00090160000,3.76000,0.33600
,,,-0.00090140000,3.76000,0.32800
,,,-0.00090120000,3.68000,0.32000
,,,-0.00090100000,3.68000,0.32000
,,,-0.00090080000,3.68000,0.32000
,,,-0.00090060000,3.68000,0.32000
,,,-0.00090040000,3.68000,0.32000
,,,-0.00090020000,3.68000,0.32000
,,,-0.00090000000,3.68000,0.32800
,,,-0.00089980006,3.60000,0.32800
,,,-0.00089960006,3.60000,0.32800
,,,-0.00089940006,3.60000,0.32000
,,,-0.00089920006,3.60000,0.32000
,,,-0.00089900006,3.60000,0.32000
,,,-0.00089880006,3.60000,0.32000
,,,-0.00089860006,3.60000,0.32000
,,,-0.00089840000,3.60000,0.32000
,,,-0.00089820000,3.60000,0.32000
,,,-0.00089800000,3.60000,0.31200
,,,-0.00089780000,3.52000,0.32000
,,,-0.00089760000,3.52000,0.31200
,,,-0.00089740000,3.52000,0.31200
,,,-0.00089720000,3.52000,0.32000
,,,-0.00089700000,3.52000,0.31200
,,,-0.00089680000,3.52000,0.32000
,,,-0.00089660000,3.52000,0.31200
,,,-0.00089640000,3.52000,0.30400
,,,-0.00089620000,3.52000,0.31200
