Record Length,9216,,Source,CH1,CH2
Sample Interval,0.0000000006510,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.00000460800,-4.24000,-0.34400
Vertical Scale,CH1:2.00 CH2:0.20,,-0.00000460700,-4.24000,-0.34400
Vertical Offset,CH1:0.00 CH2:-0.01600,,-0.00000460600,-4.24000,-0.35200
Horizontal Units,s,,-0.00000460500,-4.24000,-0.35200
Horizontal Scale,0.0000005000,,-0.00000460400,-4.32000,-0.35200
Model Number,WaveAce202,,-0.00000460300,-4.24000,-0.35200
Serial Number,LCRY2104C00378,,-0.00000460200,-4.32000,-0.35200
Software Version,2.06.02.11,,-0.00000460100,-4.24000,-0.35200
,,,-0.00000460000,-4.32000,-0.36000
,,,-0.00000459900,-4.24000,-0.36000
,,,-0.00000459800,-4.32000,-0.36000
,,,-0.00000459700,-4.24000,-0.36000
,,,-0.00000459600,-4.32000,-0.36000
,,,-0.00000459500,-4.24000,-0.36000
,,,-0.00000459400,-4.32000,-0.36000
,,,-0.00000459300,-4.24000,-0.35200
,,,-0.00000459200,-4.32000,-0.35200
,,,-0.00000459100,-4.24000,-0.35200
,,,-0.00000459000,-4.32000,-0.36000
,,,-0.00000458900,-4.24000,-0.35200
,,,-0.00000458800,-4.32000,-0.35200
,,,-0.00000458700,-4.24000,-0.34400
,,,-0.00000458600,-4.32000,-0.34400
,,,-0.00000458500,-4.32000,-0.34400
,,,-0.00000458400,-4.32000,-0.35200
,,,-0.00000458300,-4.24000,-0.35200
,,,-0.00000458200,-4.32000,-0.35200
,,,-0.00000458100,-4.24000,-0.34400
,,,-0.00000458000,-4.32000,-0.35200
,,,-0.00000457900,-4.24000,-0.35200
,,,-0.00000457800,-4.32000,-0.35200
,,,-0.00000457700,-4.24000,-0.35200
,,,-0.00000457600,-4.32000,-0.35200
,,,-0.00000457500,-4.24000,-0.35200
,,,-0.00000457400,-4.32000,-0.36000
,,,-0.00000457300,-4.32000,-0.36000
,,,-0.00000457200,-4.32000,-0.36000
,,,-0.00000457100,-4.24000,-0.36000
,,,-0.00000457000,-4.32000,-0.36000
,,,-0.00000456900,-4.24000,-0.35200
,,,-0.00000456800,-4.24000,-0.36000
,,,-0.00000456700,-4.24000,-0.35200
,,,-0.00000456600,-4.32000,-0.35200
,,,-0.00000456500,-4.24000,-0.35200
,,,-0.00000456400,-4.32000,-0.35200
,,,-0.00000456300,-4.24000,-0.34400
,,,-0.00000456200,-4.32000,-0.35200
,,,-0.00000456100,-4.24000,-0.35200
,,,-0.00000456000,-4.32000,-0.36800
,,,-0.00000455900,-4.24000,-0.36800
,,,-0.00000455800,-4.32000,-0.36800
,,,-0.00000455700,-4.24000,-0.36000
,,,-0.00000455600,-4.32000,-0.35200
,,,-0.00000455500,-4.24000,-0.36000
,,,-0.00000455400,-4.24000,-0.36800
,,,-0.00000455300,-4.24000,-0.36000
,,,-0.00000455200,-4.32000,-0.35200
,,,-0.00000455100,-4.24000,-0.35200
,,,-0.00000455000,-4.32000,-0.35200
,,,-0.00000454900,-4.24000,-0.36000
,,,-0.00000454800,-4.32000,-0.35200
,,,-0.00000454700,-4.24000,-0.35200
,,,-0.00000454600,-4.32000,-0.36000
,,,-0.00000454500,-4.24000,-0.36000
,,,-0.00000454400,-4.32000,-0.36000
,,,-0.00000454300,-4.24000,-0.35200
,,,-0.00000454200,-4.32000,-0.36000
,,,-0.00000454100,-4.24000,-0.36000
,,,-0.00000454000,-4.32000,-0.36800
,,,-0.00000453900,-4.24000,-0.36000
,,,-0.00000453800,-4.24000,-0.36000
,,,-0.00000453700,-4.24000,-0.36000
,,,-0.00000453600,-4.32000,-0.36000
,,,-0.00000453500,-4.24000,-0.36000
,,,-0.00000453400,-4.32000,-0.36800
,,,-0.00000453300,-4.24000,-0.36000
,,,-0.00000453200,-4.24000,-0.36800
,,,-0.00000453100,-4.24000,-0.36000
,,,-0.00000453000,-4.24000,-0.36800
,,,-0.00000452900,-4.24000,-0.36000
,,,-0.00000452800,-4.24000,-0.36800
,,,-0.00000452700,-4.24000,-0.36000
,,,-0.00000452600,-4.24000,-0.36800
,,,-0.00000452500,-4.24000,-0.36000
,,,-0.00000452400,-4.24000,-0.36000
,,,-0.00000452300,-4.24000,-0.36000
,,,-0.00000452200,-4.24000,-0.36000
,,,-0.00000452100,-4.24000,-0.36000
,,,-0.00000452000,-4.24000,-0.36000
,,,-0.00000451900,-4.24000,-0.36000
,,,-0.00000451800,-4.24000,-0.36000
,,,-0.00000451700,-4.24000,-0.36000
,,,-0.00000451600,-4.24000,-0.36000
,,,-0.00000451500,-4.24000,-0.36000
,,,-0.00000451400,-4.24000,-0.36000
,,,-0.00000451300,-4.16000,-0.36000
,,,-0.00000451200,-4.24000,-0.36800
,,,-0.00000451100,-4.16000,-0.36000
,,,-0.00000451000,-4.24000,-0.36000
,,,-0.00000450900,-4.16000,-0.34400
,,,-0.00000450800,-4.24000,-0.35200
,,,-0.00000450700,-4.16000,-0.36000
