Record Length,9216,,Source,CH1,CH2
Sample Interval,0.0000000325521,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.00018432000,3.84000,0.33600
Vertical Scale,CH1:2.00 CH2:0.20,,-0.00018428000,3.84000,0.34400
Vertical Offset,CH1:0.00 CH2:-0.01600,,-0.00018424002,3.84000,0.34400
Horizontal Units,s,,-0.00018420000,3.84000,0.33600
Horizontal Scale,0.0000250000,,-0.00018416000,3.84000,0.34400
Model Number,WaveAce202,,-0.00018412000,3.92000,0.34400
Serial Number,LCRY2104C00378,,-0.00018408002,3.84000,0.33600
Software Version,2.06.02.11,,-0.00018404000,3.84000,0.35200
,,,-0.00018400000,3.84000,0.34400
,,,-0.00018396000,3.92000,0.34400
,,,-0.00018392000,3.92000,0.34400
,,,-0.00018388000,3.92000,0.33600
,,,-0.00018383998,3.92000,0.34400
,,,-0.00018380000,3.92000,0.35200
,,,-0.00018376000,3.92000,0.34400
,,,-0.00018372000,3.92000,0.34400
,,,-0.00018368000,3.92000,0.34400
,,,-0.00018363998,3.92000,0.35200
,,,-0.00018360000,3.92000,0.34400
,,,-0.00018356000,3.92000,0.34400
,,,-0.00018352000,3.92000,0.36000
,,,-0.00018347998,3.92000,0.34400
,,,-0.00018344000,3.92000,0.35200
,,,-0.00018340000,3.92000,0.34400
,,,-0.00018336000,3.92000,0.35200
,,,-0.00018332000,3.92000,0.35200
,,,-0.00018327998,3.92000,0.35200
,,,-0.00018324000,3.92000,0.36000
,,,-0.00018320000,3.92000,0.34400
,,,-0.00018316000,3.92000,0.34400
,,,-0.00018311998,3.92000,0.35200
,,,-0.00018308000,3.92000,0.35200
,,,-0.00018304000,3.92000,0.36000
,,,-0.00018300000,3.92000,0.35200
,,,-0.00018296000,4.00000,0.36000
,,,-0.00018292000,4.00000,0.34400
,,,-0.00018288000,3.92000,0.34400
,,,-0.00018284000,3.92000,0.34400
,,,-0.00018280002,4.00000,0.34400
,,,-0.00018276000,4.00000,0.34400
,,,-0.00018272000,4.00000,0.34400
,,,-0.00018268000,4.00000,0.35200
,,,-0.00018264000,4.00000,0.35200
,,,-0.00018260002,4.00000,0.34400
,,,-0.00018256000,4.00000,0.34400
,,,-0.00018252000,4.00000,0.35200
,,,-0.00018248000,4.00000,0.36000
,,,-0.00018244002,4.00000,0.33600
,,,-0.00018240000,4.00000,0.34400
,,,-0.00018236000,4.00000,0.35200
,,,-0.00018232000,4.00000,0.34400
,,,-0.00018228000,4.00000,0.35200
,,,-0.00018224002,4.00000,0.35200
,,,-0.00018220000,4.00000,0.35200
,,,-0.00018216000,4.00000,0.35200
,,,-0.00018212000,4.00000,0.35200
,,,-0.00018208002,4.00000,0.35200
,,,-0.00018204000,4.00000,0.35200
,,,-0.00018200000,4.00000,0.35200
,,,-0.00018196000,4.00000,0.34400
,,,-0.00018192000,4.00000,0.34400
,,,-0.00018188000,4.08000,0.34400
,,,-0.00018183998,4.00000,0.34400
,,,-0.00018180000,4.08000,0.35200
,,,-0.00018176000,4.00000,0.35200
,,,-0.00018172000,4.00000,0.36000
,,,-0.00018168000,4.08000,0.36000
,,,-0.00018163998,4.08000,0.35200
,,,-0.00018160000,4.08000,0.35200
,,,-0.00018156000,4.08000,0.36800
,,,-0.00018152000,4.08000,0.36000
,,,-0.00018147998,4.08000,0.36000
,,,-0.00018144000,4.08000,0.36000
,,,-0.00018140000,4.08000,0.35200
,,,-0.00018136000,4.08000,0.36000
,,,-0.00018132000,4.08000,0.36800
,,,-0.00018127998,4.08000,0.35200
,,,-0.00018124000,4.08000,0.37600
,,,-0.00018120000,4.08000,0.36000
,,,-0.00018116000,4.08000,0.36000
,,,-0.00018111998,4.08000,0.35200
,,,-0.00018108000,4.08000,0.36000
,,,-0.00018104000,4.08000,0.36000
,,,-0.00018100000,4.08000,0.36000
,,,-0.00018096000,4.08000,0.36000
,,,-0.00018092000,4.08000,0.36000
,,,-0.00018088000,4.08000,0.35200
,,,-0.00018084000,4.08000,0.35200
,,,-0.00018080002,4.08000,0.36000
,,,-0.00018076000,4.08000,0.36000
,,,-0.00018072000,4.08000,0.36000
,,,-0.00018068000,4.08000,0.36800
,,,-0.00018064000,4.16000,0.36000
,,,-0.00018060000,4.08000,0.35200
,,,-0.00018056000,4.08000,0.36000
,,,-0.00018052000,4.08000,0.36000
,,,-0.00018048000,4.16000,0.36000
,,,-0.00018044002,4.08000,0.35200
,,,-0.00018040000,4.16000,0.35200
,,,-0.00018036000,4.08000,0.36000
,,,-0.00018032000,4.08000,0.36000
,,,-0.00018028000,4.16000,0.36800
,,,-0.00018024000,4.16000,0.36800
,,,-0.00018020000,4.16000,0.36000
,,,-0.00018016000,4.16000,0.36000
,,,-0.00018012000,4.16000,0.36000
,,,-0.00018008002,4.16000,0.36000
,,,-0.00018004000,4.16000,0.35200
,,,-0.00018000000,4.08000,0.36000
,,,-0.00017996000,4.16000,0.36800
,,,-0.00017992000,4.16000,0.36800
,,,-0.00017988000,4.08000,0.36000
,,,-0.00017983998,4.08000,0.36800
,,,-0.00017980000,4.08000,0.36000
,,,-0.00017976000,4.16000,0.36000
,,,-0.00017972000,4.16000,0.36800
,,,-0.00017967998,4.16000,0.36000
,,,-0.00017963998,4.16000,0.36000
,,,-0.00017960000,4.08000,0.36000
,,,-0.00017956000,4.16000,0.36000
,,,-0.00017952000,4.08000,0.36800
,,,-0.00017947998,4.08000,0.36800
,,,-0.00017944000,4.16000,0.36800
,,,-0.00017940000,4.16000,0.36000
,,,-0.00017936000,4.16000,0.36000
,,,-0.00017931998,4.16000,0.36000
,,,-0.00017927998,4.16000,0.36800
,,,-0.00017924000,4.16000,0.36000
,,,-0.00017920000,4.16000,0.36000
,,,-0.00017916000,4.16000,0.36800
,,,-0.00017911998,4.08000,0.36800
,,,-0.00017908000,4.16000,0.36800
,,,-0.00017904000,4.16000,0.37600
,,,-0.00017900000,4.16000,0.36800
,,,-0.00017896000,4.16000,0.36800
,,,-0.00017892000,4.16000,0.36800
,,,-0.00017888000,4.16000,0.36800
,,,-0.00017884000,4.16000,0.36000
,,,-0.00017880002,4.16000,0.36000
,,,-0.00017876000,4.16000,0.36800
,,,-0.00017872000,4.16000,0.36800
,,,-0.00017868000,4.16000,0.36000
,,,-0.00017864000,4.16000,0.36800
,,,-0.00017860000,4.16000,0.36000
,,,-0.00017856000,4.16000,0.36000
,,,-0.00017852000,4.16000,0.36800
