Record Length,9216,,Source,CH1,CH2
Sample Interval,0.0000000651042,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.00046080003,-4.08000,-0.34400
Vertical Scale,CH1:2.00 CH2:0.20,,-0.00046070000,-4.08000,-0.33600
Vertical Offset,CH1:0.00 CH2:-0.01600,,-0.00046060000,-4.08000,-0.34400
Horizontal Units,s,,-0.00046050000,-4.08000,-0.34400
Horizontal Scale,0.0000500000,,-0.00046040000,-4.00000,-0.34400
Model Number,WaveAce202,,-0.00046030000,-4.00000,-0.34400
Serial Number,LCRY2104C00378,,-0.00046020000,-4.08000,-0.33600
Software Version,2.06.02.11,,-0.00046010000,-4.00000,-0.34400
,,,-0.00046000000,-4.00000,-0.33600
,,,-0.00045990000,-4.00000,-0.33600
,,,-0.00045980000,-4.08000,-0.33600
,,,-0.00045970000,-4.00000,-0.33600
,,,-0.00045960000,-4.00000,-0.32800
,,,-0.00045950000,-4.00000,-0.33600
,,,-0.00045940000,-4.00000,-0.33600
,,,-0.00045930000,-4.00000,-0.32800
,,,-0.00045920000,-4.00000,-0.33600
,,,-0.00045910000,-3.92000,-0.32800
,,,-0.00045900000,-3.92000,-0.32800
,,,-0.00045890000,-3.92000,-0.33600
,,,-0.00045880000,-3.92000,-0.32800
,,,-0.00045870000,-3.92000,-0.32800
,,,-0.00045860000,-3.84000,-0.32800
,,,-0.00045850000,-3.92000,-0.32800
,,,-0.00045840000,-3.92000,-0.32000
,,,-0.00045830000,-3.92000,-0.32800
,,,-0.00045820000,-3.92000,-0.32000
,,,-0.00045810000,-3.84000,-0.32000
,,,-0.00045800000,-3.84000,-0.31200
,,,-0.00045790003,-3.84000,-0.32000
,,,-0.00045780003,-3.84000,-0.32800
,,,-0.00045770003,-3.76000,-0.32000
,,,-0.00045760003,-3.76000,-0.32000
,,,-0.00045750003,-3.84000,-0.32000
,,,-0.00045740003,-3.76000,-0.32000
,,,-0.00045730003,-3.76000,-0.32000
,,,-0.00045720003,-3.76000,-0.32000
,,,-0.00045710003,-3.76000,-0.32800
,,,-0.00045700003,-3.76000,-0.32000
,,,-0.00045690003,-3.76000,-0.31200
,,,-0.00045680000,-3.76000,-0.30400
,,,-0.00045670000,-3.68000,-0.31200
,,,-0.00045660000,-3.68000,-0.31200
,,,-0.00045650000,-3.68000,-0.30400
,,,-0.00045640000,-3.68000,-0.31200
,,,-0.00045630000,-3.68000,-0.31200
,,,-0.00045620000,-3.68000,-0.31200
,,,-0.00045610000,-3.60000,-0.31200
,,,-0.00045600000,-3.60000,-0.31200
,,,-0.00045590000,-3.68000,-0.30400
,,,-0.00045580000,-3.60000,-0.30400
,,,-0.00045570000,-3.60000,-0.30400
,,,-0.00045560000,-3.60000,-0.30400
,,,-0.00045550000,-3.60000,-0.30400
,,,-0.00045540000,-3.60000,-0.30400
,,,-0.00045530000,-3.52000,-0.30400
,,,-0.00045520000,-3.52000,-0.30400
,,,-0.00045510000,-3.52000,-0.30400
,,,-0.00045500000,-3.52000,-0.30400
,,,-0.00045490000,-3.52000,-0.30400
,,,-0.00045480000,-3.44000,-0.30400
,,,-0.00045470000,-3.44000,-0.30400
,,,-0.00045460000,-3.52000,-0.29600
,,,-0.00045450000,-3.44000,-0.29600
,,,-0.00045440000,-3.44000,-0.29600
,,,-0.00045430000,-3.44000,-0.28800
,,,-0.00045420000,-3.44000,-0.29600
,,,-0.00045410000,-3.44000,-0.28800
,,,-0.00045400000,-3.36000,-0.28800
,,,-0.00045390003,-3.36000,-0.29600
,,,-0.00045380003,-3.36000,-0.29600
,,,-0.00045370003,-3.36000,-0.28800
,,,-0.00045360003,-3.36000,-0.28800
,,,-0.00045350003,-3.36000,-0.28800
,,,-0.00045340003,-3.36000,-0.28000
,,,-0.00045330003,-3.28000,-0.28000
,,,-0.00045320003,-3.28000,-0.28000
,,,-0.00045310003,-3.28000,-0.28000
,,,-0.00045300000,-3.28000,-0.28000
,,,-0.00045290000,-3.28000,-0.28000
,,,-0.00045280000,-3.28000,-0.28800
,,,-0.00045270000,-3.20000,-0.26400
,,,-0.00045260000,-3.20000,-0.28000
,,,-0.00045250000,-3.20000,-0.27200
,,,-0.00045240000,-3.20000,-0.27200
,,,-0.00045230000,-3.20000,-0.27200
,,,-0.00045220000,-3.20000,-0.26400
,,,-0.00045210000,-3.20000,-0.27200
,,,-0.00045200000,-3.12000,-0.26400
,,,-0.00045190000,-3.12000,-0.26400
,,,-0.00045180000,-3.12000,-0.27200
,,,-0.00045170000,-3.12000,-0.25600
,,,-0.00045160000,-3.04000,-0.25600
,,,-0.00045150000,-3.04000,-0.24800
,,,-0.00045140000,-3.04000,-0.25600
,,,-0.00045130000,-3.04000,-0.25600
,,,-0.00045120000,-3.04000,-0.24800
,,,-0.00045110000,-2.96000,-0.25600
,,,-0.00045100000,-3.04000,-0.25600
,,,-0.00045090000,-3.04000,-0.24800
,,,-0.00045080000,-2.96000,-0.24800
,,,-0.00045070000,-2.96000,-0.24800
,,,-0.00045060000,-2.96000,-0.24000
,,,-0.00045050000,-2.96000,-0.27200
,,,-0.00045040000,-2.88000,-0.24800
,,,-0.00045030000,-2.88000,-0.24000
,,,-0.00045020000,-2.88000,-0.24000
,,,-0.00045010000,-2.88000,-0.24000
,,,-0.00045000000,-2.88000,-0.23200
,,,-0.00044990003,-2.88000,-0.24800
,,,-0.00044980003,-2.80000,-0.24000
,,,-0.00044970003,-2.80000,-0.23200
,,,-0.00044960003,-2.80000,-0.23200
,,,-0.00044950003,-2.80000,-0.24000
,,,-0.00044940003,-2.72000,-0.22400
,,,-0.00044930003,-2.72000,-0.22400
,,,-0.00044920000,-2.64000,-0.22400
,,,-0.00044910000,-2.72000,-0.21600
,,,-0.00044900000,-2.72000,-0.21600
,,,-0.00044890000,-2.72000,-0.23200
,,,-0.00044880000,-2.72000,-0.22400
,,,-0.00044870000,-2.64000,-0.22400
,,,-0.00044860000,-2.64000,-0.21600
,,,-0.00044850000,-2.64000,-0.21600
,,,-0.00044840000,-2.56000,-0.21600
,,,-0.00044830000,-2.64000,-0.23200
,,,-0.00044820000,-2.56000,-0.22400
,,,-0.00044810000,-2.48000,-0.20800
,,,-0.00044800000,-2.48000,-0.20800
,,,-0.00044790000,-2.48000,-0.20000
,,,-0.00044780000,-2.48000,-0.20000
,,,-0.00044770000,-2.48000,-0.20800
,,,-0.00044760000,-2.48000,-0.20000
,,,-0.00044750000,-2.48000,-0.20800
,,,-0.00044740000,-2.40000,-0.20000
,,,-0.00044730000,-2.40000,-0.20000
,,,-0.00044720000,-2.40000,-0.20800
,,,-0.00044710000,-2.40000,-0.20000
,,,-0.00044700000,-2.40000,-0.19200
,,,-0.00044690000,-2.32000,-0.19200
,,,-0.00044680000,-2.32000,-0.19200
,,,-0.00044670000,-2.32000,-0.20000
,,,-0.00044660000,-2.24000,-0.19200
,,,-0.00044650000,-2.32000,-0.19200
,,,-0.00044640000,-2.24000,-0.18400
,,,-0.00044630000,-2.24000,-0.19200
,,,-0.00044620000,-2.24000,-0.18400
,,,-0.00044610000,-2.16000,-0.18400
,,,-0.00044600000,-2.16000,-0.18400
,,,-0.00044590003,-2.16000,-0.18400
,,,-0.00044580003,-2.16000,-0.18400
,,,-0.00044570003,-2.16000,-0.17600
,,,-0.00044560003,-2.16000,-0.17600
,,,-0.00044550003,-2.08000,-0.18400
,,,-0.00044540000,-2.08000,-0.17600
,,,-0.00044530000,-2.08000,-0.17600
,,,-0.00044520000,-2.08000,-0.17600
,,,-0.00044510000,-2.08000,-0.16800
,,,-0.00044500000,-2.00000,-0.17600
,,,-0.00044490000,-2.00000,-0.16800
,,,-0.00044480000,-2.00000,-0.17600
,,,-0.00044470000,-1.92000,-0.17600
,,,-0.00044460000,-2.00000,-0.16800
,,,-0.00044450000,-1.92000,-0.16800
,,,-0.00044440000,-1.92000,-0.16800
,,,-0.00044430000,-1.92000,-0.16800
,,,-0.00044420000,-1.84000,-0.16000
,,,-0.00044410000,-1.84000,-0.16000
,,,-0.00044400000,-1.84000,-0.15200
,,,-0.00044390000,-1.84000,-0.16000
,,,-0.00044380000,-1.84000,-0.16000
,,,-0.00044370000,-1.84000,-0.14400
,,,-0.00044360000,-1.76000,-0.14400
,,,-0.00044350000,-1.76000,-0.15200
,,,-0.00044340000,-1.68000,-0.15200
,,,-0.00044330000,-1.76000,-0.15200
